item_name,clean,pred_label
KDR COLGATE D. WHITE 100G*2,kem đánh răng colgate d white 2,Personal Care
SENSODYNE Kem đánh răng Cool Gel 100g,sensodyne kem đánh răng cool gel,Personal Care
Mặt Nạ Naruko Bản Đài (Nhập Khẩu) 26ml - Tea Tree,mặt nạ naruko bản đài nhập khẩu - tea tree,Skincare
Mặt Nạ BANOBAGI Premium Vita Genic Jelly Mask (Nhập Khẩu) 30g - Cica - Xanh Ngọc,mặt nạ banobagi premium vita genic jelly mask nhập khẩu - cica - xanh ngọc,Skincare
Mặt Nạ Mediheal (Nhập Khẩu) 20mL - Hyalu Moist Dưỡng Ẩm Chuyên Sâu,mặt nạ mediheal nhập khẩu - hyalu moist dưỡng ẩm chuyên sâu,Skincare
"Mặt Nạ Mediheal (Nhập Khẩu) 20mL - Double Calming Làm Dịu, Phục Hồi Da Mụn",mặt nạ mediheal nhập khẩu - double calming làm dịu phục hồi da mụn,Skincare
Mặt Nạ Sur.Medic+ Super Calm Repairing Mask (Nhập Khẩu) 28g,mặt nạ sur medic+ super calm repairing mask nhập khẩu,Skincare
XNM AXE HƯƠNG NƯỚC HOA CAO CẤP BLUE LAVE,xịt nước mùi axe hương nước hoa cao cấp blue lave,Haircare & Body
DẦU XẢ ENCHANTEUR CHARMING 170G,dầu xả enchanteur charming,Haircare & Body
LỎ 2 XBC LIFEBUOY BV VƯỢT TRỘI 180G,lỏ 2 xà bông cục lifebuoy bv vượt trội,Haircare & Body
kem đánh răng p/s ngừa sâu răng 110g/100g,kem đánh răng p/s ngừa sâu răng /,Personal Care
kem đánh răng p/s baking soda & hương thảo 230g,kem đánh răng p/s baking soda & hương thảo,Personal Care
ST.IVES SRM TAY TE BAO DA C,st ives sữa rửa mặt tay te bao da c,Skincare
kem đánh răng cho bé trên 2 tuổi colgate hương dâu 40g (giao màu ngẫu nhiên),kem đánh răng cho bé trên 2 tuổi colgate hương dâu giao màu ngẫu nhiên,Personal Care
Nước hoa (CO nhỏ),nước hoa co nhỏ,Haircare & Body
gift box sữa tắm hazeline sữa chua linh lan & bé niu,gift box sữa tắm hazeline sữa chua linh lan & bé niu,Haircare & Body
gift box sữa tắm hazeline sữa chua đào & bé niu,gift box sữa tắm hazeline sữa chua đào & bé niu,Haircare & Body
lnm nivea nữ chống vệt ố vàng 50ml,lăn nách mùi nivea nữ chống vệt ố vàng,Haircare & Body
dg romano classic 650g,dầu gội romano classic,Haircare & Body
kem đánh răng p/s ngừa sâu răng vượt trội 180g,kem đánh răng p/s ngừa sâu răng vượt trội,Personal Care
Sữa tắm dưỡng trắng da Nysha tạo bọt,sữa tắm dưỡng trắng da nysha tạo bọt,Haircare & Body
kdr close up kim cương 100g/36 ống,kem đánh răng close up kim cương /36 ống,Personal Care
Sữa tắm Bộ Fuji 350ml,sữa tắm bộ fuji,Haircare & Body
XBC LIFEBUOY BV VUOT TRỘI 180G,xà bông cục lifebuoy bv vuot trội,Haircare & Body
kem đánh răng p/s bảo vệ 123 chăm sóc toàn diện 240g/230g,kem đánh răng p/s bảo vệ 123 chăm sóc toàn diện /,Personal Care
KDR CLOSEUP MUOI BIEN DETOX 180G,kem đánh răng closeup muoi bien detox,Personal Care
P/S KDR 123 TRA XANH 230G,p/s kem đánh răng 123 tra xanh,Personal Care
P/S KDR BAO VE CHAM SOC TOA,p/s kem đánh răng bao ve cham soc toa,Personal Care
FELIZ SỮA TẮM GOAT'S MILK 1,feliz sữa tắm goat's milk 1,Haircare & Body
TẶNG FELIZ SỮA TẮM ROSE 1L,tặng feliz sữa tắm rose,Haircare & Body
XNM AXE HƯƠNG NƯỚC HOA CAO CẤP BLUE LAVE,xịt nước mùi axe hương nước hoa cao cấp blue lave,Haircare & Body
Nước hoa (CO nhỏ),nước hoa co nhỏ,Haircare & Body
[DAILY] Nước Tẩy Trang L'oreal Dành cho Da Nhạy Cảm 400ml - Refreshing,daily nước tẩy trang l'oreal dành cho da nhạy cảm - refreshing,Skincare
NUOCTAY TRANG GIAU KHO ANG 400ML,nuoctay trang giau kho ang,Skincare
NUOCTAYTRANG GIAU KHOANG 400ML,nuoctaytrang giau khoang,Skincare
[COCOON] Nước Tẩy Trang Cocoon Sen Hậu Giang Sạch Bụi Dịu Êm Cho Da Nhạy Cảm 500ml (COCOON_NTTSHG500) - Chai 500ml,cocoon nước tẩy trang cocoon sen hậu giang sạch bụi dịu êm cho da nhạy cảm cocoon_nttshg500 - chai,Skincare
Sữa Rửa Mặt CeraVe Làm Sạch Sâu Cho Da Dầu 85ml (CHAI),sữa rửa mặt cerave làm sạch sâu cho da dầu chai,Skincare
NEUTROGENA(*) - Deep Clean Facial Gel Cleanser 150ml (SRM Dạng Gel) (TUỲ P),neutrogena - deep clean facial gel cleanser sữa rửa mặt dạng gel tuỳ p,Skincare
Nước Hoa Hồng Dịp Cá Anua Heartleaf 77,nước hoa hồng dịp cá anua heartleaf 77,Skincare
HADALABO KRMAT ADVAN,hadalabo krmat advan,Skincare
SDT SERUM 10 SUPER V,sdt serum 10 super v,Skincare
DOVE SERUM KM NIA VITA,dove serum km nia vita,Skincare
PANTENE KEM XA SERUM,pantene kem xa serum,Skincare
"CB SPF 2 Ly 84k - T3 (Trà Sữa Oolong (M) + Đá Riêng + Sugar 50 + Ice 0, Trà Sữa Oolong (M) + Đá Riêng + Sugar 50 + Ice 0)",cb chống nắng spf 2 ly 84k - t3 trà sữa oolong m + đá riêng + sugar 50 + ice 0 trà sữa oolong m + đá riêng + sugar 50 + ice 0,Skincare
Kem Chống Nắng Cấp Ẩm Dịu Da & Che Khuyết Điểm 2in1 Dermablock BB Sun Cream SPF50+ PA++++ - 35ml - 8809694625726,kem chống nắng cấp ẩm dịu da & che khuyết điểm 2in1 dermablock bb sun cream spf50+ pa++++ - -,Skincare
Nước Tẩy Da Chết Dermarium Tricky Duet 2% Salicylic Acid 150ml,nước tẩy da chết dermarium tricky duet 2 salicylic acid,Skincare
[JARY] Găng Tay Tẩy Tế Bào Chết Jary Body Exfoliating Massage Gloves (GTTTBC40D) - 40D-Hồng (Cái),jary găng tay tẩy tế bào chết jary body exfoliating massage gloves gtttbc40d - 40d-hồng cái,Skincare
GEL ACMEGEL MEDIPHARCO 15G,gel acmegel medipharco,Skincare
Gel Bôi Neothera Agnes Hỗ Trợ Điều Trị Mụn 15ml,gel bôi neothera agnes hỗ trợ điều trị mụn,Skincare
Kem bôi GAN/ KDermata,kem bôi gan/ kdermata,Skincare
"Miếng Dán Mụn Hỗ Trợ Giảm Sưng, Tái Tạo Da Focallure Acne Pimple Patch - 02 - 6941845842018",miếng dán mụn hỗ trợ giảm sưng tái tạo da focallure acne pimple patch - 02 -,Skincare
Miếng Dán Mụn Giúp Giảm Mụn Sưng Viêm Acnes Clear Patch - 48 Miếng - 8935006543188,miếng dán mụn giúp giảm mụn sưng viêm acnes clear patch - -,Skincare
"Miếng Dán Mụn Hỗ Trợ Giảm Sưng, Tái Tạo Da Focallure Acne Pimple Patch",miếng dán mụn hỗ trợ giảm sưng tái tạo da focallure acne pimple patch,Skincare
Miếng Dán Mụn Giúp Giảm Mụn Sưng Viêm Acres Clear Patch - 34 Miếng,miếng dán mụn giúp giảm mụn sưng viêm acres clear patch -,Skincare
Bộ Bông Mút Tán Kem Nền Dạng Lồng Amortals Bonus Points Powder Puff Set - Size Lớn (Mẫu Mới) - 6972507568663,bộ bông mút tán kem nền dạng lồng amortals bonus points powder puff set - size lớn mẫu mới -,Makeup
Set Hộp Gương Kèm Giấy Thấm Dầu Merina - A1-033454 - 26000000019149,set hộp gương kèm giấy thấm dầu merina - a1-033454 -,Makeup
"[GUOXIAONIU] Cọ Lẻ Maekup Chuyên Dụng Guoxiaoniu Vỏ Trắng Thân Bạc Lông Cọ Mềm Mại, Make Makeup Easy (GXCMH_402) - 402",guoxiaoniu cọ lẻ maekup chuyên dụng guoxiaoniu vỏ trắng thân bạc lông cọ mềm mại make makeup easy gxcmh_402 - 402,Makeup
"[AMORTALS] Kẹp Mi Amortals Góc Rộng Vỏ Xanh, Kẹp Mi Cong Tự Nhiên, Kèm Silicon Thay Thế (KUMYELLOW) - 1 hộp",amortals kẹp mi amortals góc rộng vỏ xanh kẹp mi cong tự nhiên kèm silicon thay thế kumyellow -,Makeup
Cọ Tán Son Môi Dạng Thạch Befou - Màu Xanh,cọ tán son môi dạng thạch befou - màu xanh,Makeup
Dụng Cụ Gắp Và Nặn Mụn Jary Acne Removal Tool - A02,dụng cụ gắp và nặn mụn jary acne removal tool - a02,Makeup
Set 3 Dao Cạo Chân Mày LML TOP - SY1045 - 6920443291855,set 3 dao cạo chân mày lml top - -,Makeup
Set 3 Cọ Mắt UUYP Cán Đen Lông Ngựa Mềm Mại Design Your Beauty L-B059 (BC3 MB059) - 1 set,set 3 cọ mắt uuyp cán đen lông ngựa mềm mại design your beauty l- bc3 -,Makeup
Bông tẩy trang Calla sạch sâu 250g,bông tẩy trang calla sạch sâu,Makeup
BONG TAY TRANG IPEK GOI,bong tay trang ipek goi,Makeup
BONG TAY TRANG IPEK,bong tay trang ipek,Makeup
"Bông Tẩy Trang BEFOU, Cotton Tự Nhiên, Mềm Mại, Không Xơ Bông (BTTB120) - 120 miếng",bông tẩy trang befou cotton tự nhiên mềm mại không xơ bông bttb120 -,Makeup
"[BEFOU] Bông Tẩy Trang BEFOU, Cotton Tự Nhiên, Mềm Mại, Không Xơ Bông (BTTB120) - 120 miếng",befou bông tẩy trang befou cotton tự nhiên mềm mại không xơ bông bttb120 -,Makeup
bông tẩy trang puri chữ nhật túi 120 + 30 miếng,bông tẩy trang puri chữ nhật túi 120 +,Makeup
Kem Lót Dưỡng Ẩm JUDYDOLL Nourishing (Da dầu) Mattifying Makeup,kem lót dưỡng ẩm judydoll nourishing da dầu mattifying makeup,Skincare
DUONG CHAT CAP AM 30M (M89 PROBIOTIC),dưỡng chất cấp ẩm 30m m89 probiotic,Skincare
Son Môi Colorkey Lasting Essence Lip Lacquer - C05,son môi colorkey lasting essence lip lacquer - c05,Makeup
SON MẮT MÈO (M) (Cat eye),son mắt mèo m cat eye,Makeup
"[FOIF] Son Tint Bóng FOIF Vỏ Trắng Puppy Đáng Yêu Jelly Lasting Tint, 3g (SONTLT5) - LT5",foif son tint bóng foif vỏ trắng puppy đáng yêu jelly lasting tint sontlt5 - lt5,Makeup
"[MOON EYES] Phấn Má Hồng Moon Eyes Đơn Sắc Mịn Lì Tự Nhiên, Matte Blush, 6.5g - ND06",moon eyes phấn má hồng moon eyes đơn sắc mịn lì tự nhiên matte blush - nd06,Makeup
Bảng Che Khuyết Điểm 3 Màu Colorkey Targeting Three-colour Concealer Palette - 3.9g - 6975326785969,bảng che khuyết điểm 3 màu colorkey targeting three-colour concealer palette - -,Makeup
Xịt Khóa Nền Cố Định Makeup Mịn Lì Lâu Trôi Prany Setting Spray 100 Ml (Matte Finish),xịt khóa nền cố định makeup mịn lì lâu trôi prany setting spray matte finish,Makeup
MBL XIT KHOA NEN SUPER,mbl xit khoa nen super,Makeup
dầu gội head & shoulders bạc hà 480ml,dầu gội head & shoulders bạc hà,Haircare & Body
DAU GOI TD7 200ML,dau goi td7,Haircare & Body
Dầu gội,dầu gội,Haircare & Body
Ủp dầu gội bạc hà/bưởi/cặp,ủp dầu gội bạc hà/bưởi/cặp,Haircare & Body
PANTENE KEM U TOC CHU,pantene kem ủ tóc chu,Haircare & Body
"GỘI ĐẦU DS ""KHỞI ĐẦU THƯ THÁI"" (Hairwash 30min)",gội đầu ds khởi đầu thư thái hairwash 30min,Haircare & Body
OGX Dầu gội hoa anh đào 386ml,ogx dầu gội hoa anh đào,Haircare & Body
CLEAR Dầu gội thảo dược 630g,clear dầu gội thảo dược,Haircare & Body
"[SPES] Dầu Gội Khô SPES Dạng Xịt Phiên Bản Nâng Cấp, Tạo Phòng Kiểm Dầu Cấp Tóc, 220ml (DGKHB-220) - Xanh Lá - (Chai)",spes dầu gội khô spes dạng xịt phiên bản nâng cấp tạo phòng kiểm dầu cấp tóc dgkhb-220 - xanh lá - chai,Haircare & Body
B.queCOSY k.dau goi117.6g/12,b quecosy k dau /12,Haircare & Body
Sữa tắm,sữa tắm,Haircare & Body
Sữa Tắm Krill hỗ trợ điều trị viêm da nước hoa 580ml,sữa tắm krill hỗ trợ điều trị viêm da nước hoa,Haircare & Body
ST ENCHANTEUR NATURE CÁI,sữa tắm enchanteur nature cái,Haircare & Body
ST ENCHANTEUR NATURE,sữa tắm enchanteur nature,Haircare & Body
ST. IVES Sữa tắm muối biển 650ml,st ives sữa tắm muối biển,Haircare & Body
DUNG DỊCH VỆ SINH PHỤ NỮ LACTACYD ODOR FRESH NGĂN MÙI SUỐT 24H 250ML,dung dịch vệ sinh phụ nữ lactacyd odor fresh ngăn mùi suốt 24h,Personal Care
BVS Kotex dạng quần 5M Size M-L,băng vệ sinh kotex dạng quần 5m size m-l,Personal Care
LAURIER BVS BAN DEM SIEU TH,laurier băng vệ sinh ban dem sieu th,Personal Care
DIANA BVS BAN DEM SENSI NIG,diana băng vệ sinh ban dem sensi nig,Personal Care
LAURIER BVS FRESH&FREE CO C,laurier băng vệ sinh fresh&free co c,Personal Care
BVS Kotex quần Herbal,băng vệ sinh kotex quần herbal,Personal Care
KM2T-BVS Kotex quần-XL2,km2t-băng vệ sinh kotex quần-xl2,Personal Care
băng vệ sinh dlana mama cho mẹ sau sinh gói 12 miếng mama 12m,băng vệ sinh dlana mama cho mẹ sau sinh gói mama 12m,Personal Care
Băng vệ sinh Diana Mama không cánh 12 miếng,băng vệ sinh diana mama không cánh,Personal Care
"LAURIER BVS Fesh&F SMKC 22,5cm20M",laurier băng vệ sinh fesh&f smkc 22 5cm20m,Personal Care
Khăn ướt in Logo,khăn ướt in logo,Personal Care
khăn ướt puri cao cấp hương phần 100 tờ,khăn ướt puri cao cấp hương phần,Personal Care
Khăn ướt baby Co.op Select 30 tờ,khăn ướt baby co op select,Personal Care
khăn ướt,khăn ướt,Personal Care
khăn ướt purl không mùi 20 tờ,khăn ướt purl không mùi,Personal Care
Khăn ướt,khăn ướt,Personal Care
Khăn Ướt Vệ Sinh Cho Nữ Befou Cleansing Wipes For Lady Dạng Gói - 10 Tờ - 8936221250035,khăn ướt vệ sinh cho nữ befou cleansing wipes for lady dạng gói - -,Personal Care
Khăn ướt,khăn ướt,Personal Care
Khăn ướt Wet Wipes,khăn ướt wet wipes,Personal Care
kem đánh răng p/s trắng răng than hoạt tính 230g,kem đánh răng p/s trắng răng than hoạt tính,Personal Care
2KDR COLGATE nguasaurang 22,2kdr colgate nguasaurang 22,Personal Care
KDR COLGATE NGUA SAU RANG 225G,kem đánh răng colgate ngua sau rang,Personal Care
KDR DARLIE DB ACTION MUL 180,kem đánh răng darlie db action mul 180,Personal Care
KDR DARLIE DB ACTION PROTECT,kem đánh răng darlie db action protect,Personal Care
CLOSE UP - KEM ĐÁNH RĂNG TINH THỂ BẠC TUÝP 100G (TUÝP),close up - kem đánh răng tinh thể bạc tuýp tuýp,Personal Care
ICON Bàn chải đánh răng lông siêu mịn Trắng - Phẳng,icon bàn chải đánh răng lông siêu mịn trắng - phẳng,Personal Care
DR.PAPIE GẠC RĂNG MIỆNG EM,dr papie gạc răng miệng em,Personal Care
Listerine - Nước súc miệng Coolmint,listerine - nước súc miệng coolmint,Personal Care
VATO8 Nước súc miệng Listerine Cool 500ml,vato8 nước súc miệng listerine cool,Personal Care
VAT08 NƯỚC SÚC MIỆNG LISTERINE COOLMINT,vat08 nước súc miệng listerine coolmint,Personal Care
