item_name,clean,label_ground,ml_label_v3,ml_conf_v3
Heo Xay - (Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Meat Deli Thit Heo Lang Cho Mon Nuong,meat deli thit heo lang cho mon nuong,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.982
Meat Deli Chan Gio Heo Rut Xuong,meat deli chan gio heo rut xuong,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.957
Meat Deli Thit Heo Xay 26565138003Tc32,meat deli thit heo xay 26565138003tc32,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.948
Meat Deli Thit Heo Xay 26565138004342,meat deli thit heo xay 26565138004342,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.95
Nac Roi Heo Xayvs990,nac roi heo xayvs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Ba Roi Heo C.P,ba roi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Meat Deli: Ba Roi Heo,meat deli ba roi heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Meat Deli: Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Ba Roi Heo Rut Suon Nuong Sa,ba roi heo rut suon nuong sa,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Ba Roi Heo Rut Suon Nuong Sa Ot,ba roi heo rut suon nuong sa ot,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
Ba Roi Heo Nga,ba roi heo nga,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Meat Deli Thi Heo Xay,meat deli thi heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Heo Xay - (Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Roi Heo C.P,ba roi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Chan Gio Heo C.P,chan gio heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Chan Gio Heo Cp,chan gio heo cp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.983
Ba Roi Heo Meat Master 400 G (8936139332611),ba roi heo meat master 8936139332611,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.92
Meat Deli Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Heo Xay -(Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Lam Sach (Kg),thit heo lam sach kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.965
New Cut_Ba Roi Heo Dong Tps 300G,new cut_ba roi heo dong tps,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.901
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thịt Heo Quay Kiểu Macau,thịt heo quay kiểu macau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.932
Thit Heo 500G,thit heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Nac Heo Xay,nac heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thịt Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Meat Deli [Sig] Thit Heo Xay Dac Biet 90125,meat deli sig thit heo xay dac biet 90125,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.973
Meat Deli Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Meat Deli Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Xay Chuan Ngon Meat Deli - (Gam),thit heo xay chuan ngon meat deli - gam,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Roi Heo Sot Bbq,ba roi heo sot bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Thit Heo,thit heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Ba Roi Heo,ba roi heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Chan Gio Heo Duc,chan gio heo duc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.983
Cot Let Heo Kgvs990,cot let heo kgvs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Roi Rut Suon Heo Kg-Vs990,ba roi rut suon heo kg-vs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.98
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Chan Bap Gio Heo (Binh On Gia),chan bap gio heo binh on gia,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Ba Roi Heo Sot Bbq,ba roi heo sot bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Roi Heo Nga,ba roi heo nga,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Heo Xay - (Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Nac Heo Xay - (Kg),nac heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Ba Roi Heo Rút Sườn - (Kg),ba roi heo rút sườn - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.995
Nac Roi Heo Xay Vs990,nac roi heo xay vs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Nac Heo Xay,nac heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Chan Gio Heo-Vs990,chan gio heo-vs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.959
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Roi Heo Sot Bbq,ba roi heo sot bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Ba Roi Heo Sốt Bbq,ba roi heo sốt bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.944
Thit Heo Luoc,thit heo luoc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.933
Ba Roi Heo C.P,ba roi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Heo Xay - (Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Meat Deli Thit Heo,meat deli thit heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Xay /Kg,thit heo xay /kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Nac Heo Xay (Kg),nac heo xay kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Cot Let Heo Tuoi Khong Da (Kg),cot let heo tuoi khong da kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.97
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Nac Roi Heo Xay 0.62Kg,nac roi heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.995
Thit Heo Lam Sach,thit heo lam sach,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.939
Meat Deli Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Cot Let Heo Kgvs990,cot let heo kgvs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Gio Heo Truoc Tuoi L1 - (Kg),gio heo truoc tuoi l1 - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.962
Xuong Co Heo Tuoi - (Kg),xuong co heo tuoi - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.973
Heo Xay - (Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Meat Deli Thit Heo Lang Cho Mon Nuong,meat deli thit heo lang cho mon nuong,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.982
Meat Deli Thit Dui Heo,meat deli thit dui heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Meat Deli Chan Gio Heo Rut Xuong,meat deli chan gio heo rut xuong,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.957
Meat Deli Thit Heo Xay 26565138003Tc32,meat deli thit heo xay 26565138003tc32,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.948
Meat Deli Thit Heo Xay 26565138004342,meat deli thit heo xay 26565138004342,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.95
Ba Roi Nuong Rieng Me,ba roi nuong rieng me,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.906
Sườn Non Heo C.P,sườn non heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Nac Roi Heo Xayvs990,nac roi heo xayvs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Ba Roi Heo C.P,ba roi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Ba Rọi Heo C.P,ba rọi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Meat Deli: Ba Roi Heo,meat deli ba roi heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Meat Deli: Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Meat Deli: Nac Dam Heo,meat deli nac dam heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Meat Deli Ba Roi Dac Biet,meat deli ba roi dac biet,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.945
Nac Roi Heo Xayvs990,nac roi heo xayvs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Ba Roi Heo Rut Suon Nuong Sa,ba roi heo rut suon nuong sa,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Ba Roi Heo Rut Suon Nuong Sa Ot,ba roi heo rut suon nuong sa ot,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
Ba Roi Heo Nga,ba roi heo nga,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Sườn Non Hấp Tàu Xì,sườn non hấp tàu xì,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.903
Cổ Heo Nướng Than Grilled Pork Neck (Big),cổ heo nướng than grilled pork neck big,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.914
Meat Deli Thi Heo Xay,meat deli thi heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Heo Xay - (Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Rọi Heo C.P,ba rọi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Ba Roi Heo C.P,ba roi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Chan Gio Heo C.P,chan gio heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Chân Giò Heo C.P,chân giò heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Chang Gio Heo Cp,chang gio heo cp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.967
Chan Gio Heo Cp,chan gio heo cp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.983
Ba Roi Heo Meat Master 400 G (8936139332611),ba roi heo meat master 8936139332611,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.92
Suon Non Tau Xi (Phan),suon non tau xi phan,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.867
Chân Giò Heo C.P,chân giò heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Chan Gio Heo Cp,chan gio heo cp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.983
Ga Uc Ba Roi,ga uc ba roi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
Meat Deli Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Heo Xay -(Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Nac Dui Heo Tuoi -(Kg),nac dui heo tuoi - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Thit Heo Lam Sach (Kg),thit heo lam sach kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.965
New Cut_Ba Roi Heo Dong Tps 300G,new cut_ba roi heo dong tps,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.901
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Chân Giò Heo Đức,chân giò heo đức,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.977
Heo Sữa Quay Da Giòn,heo sữa quay da giòn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.948
Thịt Heo Quay Kiểu Macau,thịt heo quay kiểu macau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.932
Thit Heo 500G,thit heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Heo Sua Quay Ba Mon,heo sua quay ba mon,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.976
Nac Heo Xay,nac heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Thit Nac Heo C.P,thit nac heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thịt Đùi Heo C.P,thịt đùi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.993
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Meat Deli Cot Liet Heo,meat deli cot liet heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thịt Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Dui Heo C.P,thit dui heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Suon Non Heo C.P,suon non heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Sườn Heo C.P,sườn heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Meat Deli Nac Dui Heo 2656231014402,meat deli nac dui heo 2656231014402,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Meat Deli Thit Dui Heo,meat deli thit dui heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Ba Chỉ Heo Nướng Ngũ Vị,ba chỉ heo nướng ngũ vị,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.982
Meat Deli [Sig] Ba Roi Dac Biet,meat deli sig ba roi dac biet,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.944
Ba Rọi Heo C.P,ba rọi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Meat Deli [Sig] Suon Than (Suon Non) 2660150003762,meat deli sig suon than suon non 2660150003762,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.866
Meat Deli [Sig] Thit Heo Xay Dac Biet 90125,meat deli sig thit heo xay dac biet 90125,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.973
Meat Deli Ba Roi Dac Biet,meat deli ba roi dac biet,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.945
Meat Deli Thit Vai Heo,meat deli thit vai heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Meat Deli Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Meat Deli (Big) Ba Roi Dap Boi,meat deli big ba roi dap boi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.92
Meat Deli Thit Heo Xay,meat deli thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Xay Chuan Ngon Meat Deli - (Gam),thit heo xay chuan ngon meat deli - gam,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Sườn Non Chay An Nhiên 150G,sườn non chay an nhiên,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.883
Ba Roi De Nuong Moi,ba roi de nuong moi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.926
Ba Roi Heo Sot Bbq,ba roi heo sot bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Ba Rọi Heo Sốt Bbq,ba rọi heo sốt bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.924
Ba Roi De Nuong Moi,ba roi de nuong moi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.926
Bbq Ba Rọi Nướng Sốt Trứng Muối,bbq ba rọi nướng sốt trứng muối,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.983
Ba Rọi Đế Nướng Môi,ba rọi đế nướng môi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.909
Ba Rọi Heo Sốt Bbq,ba rọi heo sốt bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.924
Nac Heo Sot Chao Nong,nac heo sot chao nong,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.957
Thit Heo,thit heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Ba Roi Heo,ba roi heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Sườn Non Heo C.P,sườn non heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Chan Gio Heo Duc,chan gio heo duc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.983
Cot Let Heo Kgvs990,cot let heo kgvs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Sườn Non Heo Brazil,sườn non heo brazil,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.953
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Rọi Heo C.P,ba rọi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Ba Roi Rut Suon Heo Kg-Vs990,ba roi rut suon heo kg-vs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.98
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Meat Deli [Sig] Sườn Thăn (Sườn Non),meat deli sig sườn thăn sườn non,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.953
Meat Deli Xương Ống Heo,meat deli xương ống heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Chan Bap Gio Heo (Binh On Gia),chan bap gio heo binh on gia,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Ba Roi Heo Sot Bbq,ba roi heo sot bbq,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Ba Roi De Nuong Moi,ba roi de nuong moi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.926
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Sườn Non Heo C.P,sườn non heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Suon Non Ram,suon non ram,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.941
Heo Quay Kho Cai Chua,heo quay kho cai chua,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.954
Ba Roi Heo Nga,ba roi heo nga,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Heo Xay - (Kg),heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Nac Heo Xay - (Kg),nac heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Suon Non Heo Nuong Han Quoc,suon non heo nuong han quoc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.97
Ba Roi Heo Rút Sườn - (Kg),ba roi heo rút sườn - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.995
Nac Roi Heo Xay Vs990,nac roi heo xay vs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Nac Heo Xay,nac heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Chan Gio Heo-Vs990,chan gio heo-vs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.959
