label,priority,pattern
Trà,4,\bice\s*tea\b
Trà,4,\bcho\s*coc\b
Nước ngọt,5,\bnước ngọt\b
Nước ngọt,5,\bcoca\b
Nước ngọt,5,\bcola\b
Nước ngọt,5,\bpepsi\b
Nước ngọt,5,\bsprite\b
Nước ngọt,5,\b7\s?up\b
Nước ngọt,5,\bfanta\b
Nước ngọt,5,\bschweppes\b
Nước ngọt,5,\bsoda\b
Nước ngọt,5,\bc2\b
Nước ngọt,5,\baquafina\b
Nước ngọt,5,\btwister\b
Nước ngọt,5,\bkombucha\b
Nước ngọt,5,\biso\s*sport\b
Nước ngọt,5,\bgatorade\b
Nước ngọt,5,\bpocari\b
Nước khoáng - Nước suối,5,\bnước suối\b
Nước khoáng - Nước suối,5,\bnước khoáng\b
Nước khoáng - Nước suối,5,\bnuoc\s*suoi\b
Nước khoáng - Nước suối,5,\bnuoc\s*khoang\b
Nước khoáng - Nước suối,5,\blavie\b
Nước khoáng - Nước suối,5,\bvĩnh hảo\b
Nước khoáng - Nước suối,5,\bdasani\b
Nước khoáng - Nước suối,5,\baqua\b
Nước khoáng - Nước suối,5,\bvinh\s*hao\b
Nước khoáng - Nước suối,5,\bvivant\b
Nước khoáng - Nước suối,5,\bjoy\b
Nước khoáng - Nước suối,5,\bfclass\b
Nước khoáng - Nước suối,5,\bnước tinh khiết\b
Nước khoáng - Nước suối,5,\bwater\b
